entity_id,is_anomalous,entity_type
230425980,False,transaction
5530458,False,transaction
232022460,False,transaction
232438397,False,transaction
230460314,False,transaction
230459870,False,transaction
230333930,False,transaction
230595899,False,transaction
232013274,False,transaction
232029206,False,transaction
232344069,False,transaction
27553029,False,transaction
36411953,False,transaction
230405052,False,transaction
34194980,False,transaction
5529846,False,transaction
3881097,False,transaction
232457116,False,transaction
230409257,False,transaction
32877982,False,transaction
230351738,False,transaction
195218118,False,transaction
88008478,False,transaction
232012569,False,transaction
232412408,False,transaction
232412405,False,transaction
232038018,False,transaction
232470342,False,transaction
2925426,False,transaction
230550393,False,transaction
232051089,False,transaction
232470704,False,transaction
233591710,False,transaction
234439913,False,transaction
232945017,False,transaction
94251207,False,transaction
6595740,False,transaction
79840192,False,transaction
212704383,False,transaction
212366182,False,transaction
69254632,False,transaction
230595355,False,transaction
166890641,False,transaction
82304496,False,transaction
232033533,False,transaction
230470022,False,transaction
230598493,False,transaction
43560505,False,transaction
14878322,False,transaction
230415750,False,transaction
232073372,False,transaction
75604335,False,transaction
230473487,False,transaction
7089694,False,transaction
231179595,False,transaction
3307463,False,transaction
230658679,False,transaction
232074274,False,transaction
5234549,False,transaction
231177927,False,transaction
232431877,False,transaction
2758467,False,transaction
81273879,False,transaction
232437171,False,transaction
3878856,False,transaction
3878886,False,transaction
231182296,False,transaction
14660781,False,transaction
13334987,False,transaction
5530452,False,transaction
230519287,False,transaction
194810163,False,transaction
230423321,False,transaction
232399276,False,transaction
230659456,False,transaction
230658142,False,transaction
230347386,False,transaction
37233982,False,transaction
230427468,False,transaction
43358239,False,transaction
230528714,False,transaction
75605182,False,transaction
75604052,False,transaction
230585122,False,transaction
231208959,False,transaction
230455950,False,transaction
2881274,False,transaction
232658952,False,transaction
232658962,False,transaction
230530291,False,transaction
2881273,False,transaction
75604616,False,transaction
37232637,False,transaction
230531551,False,transaction
4619363,False,transaction
230516010,False,transaction
230516478,False,transaction
232441583,False,transaction
232441589,False,transaction
5488136,False,transaction
27553759,False,transaction
5529367,False,transaction
232467632,False,transaction
230658273,False,transaction
230658517,False,transaction
231181128,False,transaction
232453404,False,transaction
232353601,False,transaction
230447764,False,transaction
230423018,False,transaction
232392936,False,transaction
234419729,False,transaction
152498092,False,transaction
230531146,False,transaction
230545782,False,transaction
230415003,False,transaction
230414561,False,transaction
230453429,False,transaction
230459154,False,transaction
230425284,False,transaction
83431059,False,transaction
230530225,False,transaction
230095969,False,transaction
230440353,False,transaction
230440535,False,transaction
230440534,False,transaction
232022496,False,transaction
232022773,False,transaction
230348238,False,transaction
3409584,False,transaction
89273,False,transaction
3906238,False,transaction
230973596,False,transaction
232455956,False,transaction
38062994,False,transaction
80044108,False,transaction
230423318,False,transaction
146601928,False,transaction
