entity_id,type,label
entity_norm_0000,wallet,0
entity_norm_0001,wallet,0
entity_norm_0002,wallet,0
entity_norm_0003,wallet,0
entity_norm_0004,wallet,0
entity_norm_0005,wallet,0
entity_norm_0006,wallet,0
entity_norm_0007,wallet,0
entity_norm_0008,wallet,0
entity_norm_0009,wallet,0
entity_norm_0010,wallet,0
entity_norm_0011,wallet,0
entity_norm_0012,wallet,0
entity_norm_0013,wallet,0
entity_norm_0014,wallet,0
entity_norm_0015,wallet,0
entity_norm_0016,wallet,0
entity_norm_0017,wallet,0
entity_norm_0018,wallet,0
entity_norm_0019,wallet,0
entity_norm_0020,wallet,0
entity_norm_0021,wallet,0
entity_norm_0022,wallet,0
entity_norm_0023,wallet,0
entity_norm_0024,wallet,0
entity_norm_0025,wallet,0
entity_norm_0026,wallet,0
entity_norm_0027,wallet,0
entity_norm_0028,wallet,0
entity_norm_0029,wallet,0
entity_norm_0030,wallet,0
entity_norm_0031,wallet,0
entity_norm_0032,wallet,0
entity_norm_0033,wallet,0
entity_norm_0034,wallet,0
entity_norm_0035,wallet,0
entity_norm_0036,wallet,0
entity_norm_0037,wallet,0
entity_norm_0038,wallet,0
entity_norm_0039,wallet,0
entity_norm_0040,wallet,0
entity_norm_0041,wallet,0
entity_norm_0042,wallet,0
entity_norm_0043,wallet,0
entity_norm_0044,wallet,0
entity_norm_0045,wallet,0
entity_norm_0046,wallet,0
entity_norm_0047,wallet,0
entity_norm_0048,wallet,0
entity_norm_0049,wallet,0
entity_norm_0050,wallet,0
entity_norm_0051,wallet,0
entity_norm_0052,wallet,0
entity_norm_0053,wallet,0
entity_norm_0054,wallet,0
entity_norm_0055,wallet,0
entity_norm_0056,wallet,0
entity_norm_0057,wallet,0
entity_norm_0058,wallet,0
entity_norm_0059,wallet,0
entity_norm_0060,wallet,0
entity_norm_0061,wallet,0
entity_norm_0062,wallet,0
entity_norm_0063,wallet,0
entity_norm_0064,wallet,0
entity_norm_0065,wallet,0
entity_norm_0066,wallet,0
entity_norm_0067,wallet,0
entity_norm_0068,wallet,0
entity_norm_0069,wallet,0
entity_norm_0070,wallet,0
entity_norm_0071,wallet,0
entity_norm_0072,wallet,0
entity_norm_0073,wallet,0
entity_norm_0074,wallet,0
entity_norm_0075,wallet,0
entity_norm_0076,wallet,0
entity_norm_0077,wallet,0
entity_norm_0078,wallet,0
entity_norm_0079,wallet,0
entity_norm_0080,wallet,0
entity_norm_0081,wallet,0
entity_norm_0082,wallet,0
entity_norm_0083,wallet,0
entity_norm_0084,wallet,0
entity_norm_0085,wallet,0
entity_norm_0086,wallet,0
entity_norm_0087,wallet,0
entity_norm_0088,wallet,0
entity_norm_0089,wallet,0
entity_norm_0090,wallet,0
entity_norm_0091,wallet,0
entity_norm_0092,wallet,0
entity_norm_0093,wallet,0
entity_norm_0094,wallet,0
entity_norm_0095,wallet,0
entity_norm_0096,wallet,0
entity_norm_0097,wallet,0
entity_norm_0098,wallet,0
entity_norm_0099,wallet,0
entity_norm_0100,wallet,0
entity_norm_0101,wallet,0
entity_norm_0102,wallet,0
entity_norm_0103,wallet,0
entity_norm_0104,wallet,0
entity_norm_0105,wallet,0
entity_norm_0106,wallet,0
entity_norm_0107,wallet,0
entity_norm_0108,wallet,0
entity_norm_0109,wallet,0
entity_norm_0110,wallet,0
entity_norm_0111,wallet,0
entity_norm_0112,wallet,0
entity_norm_0113,wallet,0
entity_norm_0114,wallet,0
entity_norm_0115,wallet,0
entity_norm_0116,wallet,0
entity_norm_0117,wallet,0
entity_norm_0118,wallet,0
entity_norm_0119,wallet,0
entity_norm_0120,wallet,0
entity_norm_0121,wallet,0
entity_norm_0122,wallet,0
entity_norm_0123,wallet,0
entity_norm_0124,wallet,0
entity_norm_0125,wallet,0
entity_norm_0126,wallet,0
entity_norm_0127,wallet,0
entity_norm_0128,wallet,0
entity_norm_0129,wallet,0
entity_norm_0130,wallet,0
entity_norm_0131,wallet,0
entity_norm_0132,wallet,0
entity_norm_0133,wallet,0
entity_norm_0134,wallet,0
entity_norm_0135,wallet,0
entity_norm_0136,wallet,0
entity_norm_0137,wallet,0
entity_norm_0138,wallet,0
entity_norm_0139,wallet,0
entity_norm_0140,wallet,0
entity_norm_0141,wallet,0
entity_norm_0142,wallet,0
entity_norm_0143,wallet,0
entity_norm_0144,wallet,0
entity_norm_0145,wallet,0
entity_norm_0146,wallet,0
entity_norm_0147,wallet,0
entity_norm_0148,wallet,0
entity_norm_0149,wallet,0
entity_norm_0150,wallet,0
entity_norm_0151,wallet,0
entity_norm_0152,wallet,0
entity_norm_0153,wallet,0
entity_norm_0154,wallet,0
entity_norm_0155,wallet,0
entity_norm_0156,wallet,0
entity_norm_0157,wallet,0
entity_norm_0158,wallet,0
entity_norm_0159,wallet,0
entity_norm_0160,wallet,0
entity_norm_0161,wallet,0
entity_norm_0162,wallet,0
entity_norm_0163,wallet,0
entity_norm_0164,wallet,0
entity_norm_0165,wallet,0
entity_norm_0166,wallet,0
entity_norm_0167,wallet,0
entity_norm_0168,wallet,0
entity_norm_0169,wallet,0
entity_norm_0170,wallet,0
entity_norm_0171,wallet,0
entity_norm_0172,wallet,0
entity_norm_0173,wallet,0
entity_norm_0174,wallet,0
entity_norm_0175,wallet,0
entity_norm_0176,wallet,0
entity_norm_0177,wallet,0
entity_norm_0178,wallet,0
entity_norm_0179,wallet,0
entity_norm_0180,wallet,0
entity_norm_0181,wallet,0
entity_norm_0182,wallet,0
entity_norm_0183,wallet,0
entity_norm_0184,wallet,0
entity_norm_0185,wallet,0
entity_norm_0186,wallet,0
entity_norm_0187,wallet,0
entity_norm_0188,wallet,0
entity_norm_0189,wallet,0
entity_norm_0190,wallet,0
entity_norm_0191,wallet,0
entity_norm_0192,wallet,0
entity_norm_0193,wallet,0
entity_norm_0194,wallet,0
entity_norm_0195,wallet,0
entity_norm_0196,wallet,0
entity_norm_0197,wallet,0
entity_norm_0198,wallet,0
entity_norm_0199,wallet,0
entity_peel_chain,peeling_chain,1
entity_mixer,mixer,1
entity_extortion,extortion,1
